sp_id;order;family;genus;species;nesting_pref;development_mode;trophic_level;trophic_niche;foraging_behaviour;foraging_strata;body_mass;brain_mass;beak_length;beak_width;beak_depth;tarsus_length;hwi;wing_length;kipps_distance;tail_length;clutch_size;clutch_nb;egg_mass;fledging_age;maturity_age;longevity;max_longevity;habitat;hab_density;prim_lifestyle;urban_tolerance;social_behaviour;migratory;latitude_cent;longitude_cent;range_size;iucn_status;comment
phyl_coll;Passeriformes;Phylloscopidae;Phylloscopus;collybita;ground;altricial;carnivore;invertivore;gleaning;all_strata;8,3;0,35;11,6;2,3;2,2;19,7;18,4;58,8;10,8;48,5;5,5;1,5;1,12;15;364,23;7,8;8;forest;dense;insessorial;adapter;solitary;1;53,49;26,75;7564956,38;lc;
phyl_troc;Passeriformes;Phylloscopidae;Phylloscopus;trochilus;ground;altricial;carnivore;invertivore;gleaning;tree_canopy;8,7;0,37;12,8;2,6;2,6;19,3;25,9;65,9;17,1;52,3;6,23;1,5;1,2;13,5;364,23;10,83;11,8;forest;dense;insessorial;adapter_avoider;solitary;1;60,53;74,92;15839222,41;nt;
sitt_euro;Passeriformes;Sittidae;Sitta;europaea;cavity;altricial;carnivore;invertivore;gleaning;lower_strata;20,4;0,91;20,9;4,8;4,6;20,2;23,8;85,4;20,3;46,8;7,4;1;2,16;24;364,23;12,9;12,917;forest;dense;insessorial;adapter;small_groups;0;52,64;82,46;21575986,15;lc;
stur_vulg;Passeriformes;Sturnidae;Sturnus;vulgaris;cavity;altricial;omnivore;omnivore;gleaning;ground;77,1;2,04;30,2;6,6;6,5;29;38,4;128,3;49,2;65,8;5;2;7;21;455,101;20,69;22,92;rupestrian;open;insessorial;exploiter;gregarious;0;50,32;52,41;17082191,68;lc;
sylv_atri;Passeriformes;Sylviidae;Sylvia;atricapilla;shrub;altricial;omnivore;omnivore;gleaning;midhigh_strata;16,7;0,67;15,2;3,2;3,4;20,8;27;75,9;20,5;62,2;4,5;2;2,19;11;334,23;9,8;13,83;woodland;dense;insessorial;adapter;solitary;1;51,6;26,37;8628077,66;lc;
sylv_comm;Passeriformes;Sylviidae;Sylvia;communis;shrub;altricial;omnivore;invertivore;gleaning;lower_strata;15,1;;13,6;2,8;3,3;21,3;24,2;72,6;17,6;63,3;4,5;2;1,78;11;364,23;7,5;8,92;shrubland;open;insessorial;avoider;solitary;1;50,84;43,84;14124012,64;lc;
sylv_curr;Passeriformes;Sylviidae;Sylvia;curruca;shrub;altricial;carnivore;invertivore;gleaning;all_strata;11,4;;12,4;2,8;3,1;19,1;22;65,1;14,4;56,9;4,8;1,5;1,42;12,5;364,23;7,6;7,92;shrubland;open;insessorial;adapter_avoider;solitary;1;51,94;64,22;21087199,91;dd;threatened in various regions
trog_trog;Passeriformes;Troglodytidae;Troglodytes;troglodytes;building_shrub;altricial;carnivore;invertivore;scratching;ground_and_lower_strata;9,7;0,53;13,8;2,5;2,7;17,6;15,7;48,5;7,6;30,5;5,55;1,5;1,32;16,5;364,23;5,83;7;forest;dense;insessorial;adapter_avoider;solitary;0;46,78;62,81;15761767,29;lc;
turd_meru;Passeriformes;Turdidae;Turdus;merula;shrub;altricial;omnivore;omnivore;gleaning;ground_and_lower_strata;102,7;1,97;28,5;5,3;7,5;33,6;23,1;128,4;29,8;106,3;4;4;7,2;13,5;364,23;21,1;21,83;forest;semi_open;generalist;adapter_exploiter;small_groups;0;49,18;28,15;10572243,36;lc;
arde_cine;Pelecaniformes;Ardeidae;Ardea;cinerea;treetop;semi_altricial;carnivore;aquatic_predator;lunging;water;1443;;138,9;18,7;25,4;137,9;34,6;441;152,7;169,1;4,305;1;60;48,5;730;30,25;37,5;wetland;open;terrestrial;adapter;gregarious;0;27,14;60,83;46421646,29;lc;
dend_majo;Piciformes;Picidae;Dendrocopos;major;cavity;altricial;omnivore;omnivore;probing;midhigh_strata;74,9;;27,9;9,3;8,7;23,9;29,3;136,2;40,8;88;5,7;1;5,7;22;365;12,68;12,7;woodland;dense;insessorial;adapter;solitary;0;51,97;75,61;24413724,29;lc;
picu_viri;Piciformes;Picidae;Picus;viridis;cavity;altricial;carnivore;invertivore;probing;ground;176;3,91;45;11,5;9,8;29;24,7;165,4;41;103;6,1;1;8,9;23;364,23;15,08;15,2;forest;semi_open;terrestrial;adapter;solitary;0;50,06;24,02;5981746,04;lc;
podi_cris;Podicipediformes;Podicipedidae;Podiceps;cristatus;water;precocial;carnivore;aquatic_predator;dabbling;water;731;3,22;57,5;6,6;10,6;60,9;42,9;183,6;79;40,7;3,77;1,5;40,75;75;728,47;16,85;19,25;wetland;open;aquatic;adapter;gregarious;0;44,79;63,48;19812770,45;lc;threatened in various regions
