id_ipa;rayon;area;site_name;neighbourhood;urban_type;urban_type_2;possible_outlier;x;y;species_richness;evenness_class;dom_sp_1;dom_sp_2;dom_sp_3;bcount;bprop;bh;bh_m;bh_iqr;bconti;bfreq;barea_m;barea_iqr;bgaps;bhgaps;rlength;rdens;rortho_m;hprop;hcount;harea_m;harea_iqr;sprop;scount;sarea_m;sarea_iqr;fprop;fcount;farea_m;farea_iqr;wprop;lcz;vmanag;npoll;lflux_0_m;lflux_5_m;lflux_10_m;lflux_20_m;fw_d1b1_euc;fw_d2b1_euc;cfw_d1b1_euc;cfw_d2b1_euc;fw_d1b1;fw_d2b1;cfw_d1b1;cfw_d2b1;fh_d1b1_euc;fh_d2b1_euc;cfh_d1b1_euc;cfh_d2b1_euc;fh_d1b1;fh_d2b1;cfh_d1b1;cfh_d2b1;ff_d1b1_euc;ff_d2b1_euc;cff_d1b1_euc;cff_d2b1_euc;ff_d1b1;ff_d2b1;cff_d1b1
IPA041b;300;280930,0637;chateau_de_larrey;bourroches;mixed_housing;mixed_front_resid_housing;0;5,0165;47,3124;16;B;Prunus laurocerasus;Platanus sp;Thuja sp;636;0,207293475;1,470961336;4,1;2,4;0,67698611;0,083129842;93,67;97,00375;0,250599626;5,869766686;5629,747248;0,000149503;3,163635875;0,15065002;1213;4;18;0,153557203;2123;3;13;0,04667639;617;3;11;0;6;intensive;52,96632004;58,06885826;82,65003257;93,75280473;41,56349438;0;0;0;0;0;0;0;0;8625460,684;244894354,7;3,94359E+12;3,85374E+12;19238232,8;1093707802;3,81393E+12;3,73002E+12;16308540,76;413617378,6;8,51444E+12;8,35558E+12;82043838,82;6045574843;8,64327E+12
IPA041b;450;632092,6433;chateau_de_larrey;bourroches;mixed_housing;mixed_front_resid_housing;0;5,0165;47,3124;16;B;Prunus laurocerasus;Platanus sp;Thuja sp;1537;0,214350191;1,467019039;4,3;2,8;0,646127502;0,094632203;93,63;94,56875;0,259016348;5,663808688;12268,5509;0,000137638;3,399224357;0,150329615;2638;4;21;0,148200244;4433;3;13;0,040826822;1214;3;11;0;6;intensive;52,68386078;47,53210677;75,59478225;86,43596891;41,87603813;0;0;0;0;0;0;0;0;20297022,76;558823737,2;9,03534E+12;8,82794E+12;46481138,5;2494157725;8,82548E+12;8,62891E+12;35743418,31;892492017;1,83961E+13;1,80335E+13;188411767,6;13098797454;1,85992E+13
IPA042;150;70232,51593;nichoir_331_rue_marcs_dor;marcs_dor;mixed_housing;mixed_housing;0;4,9988;47,3174;34;B;Thuja sp;Prunus laurocerasus;Robinia pseudoacacia;67;0,13899267;1,492628277;5,3;1,95;0,952012103;0,055661463;113,885;84,575;0,432827657;3,448551061;952,1848142;5,70E-05;9,638148913;0,222587486;301;3;11;0,178025272;646;2;9;0,128973847;183;5;18,78289475;0;6;intensive;43,1784668;2,205233619;11,8456341;16,91528958;16,39977209;0;0;0;0;0;0;0;0;2725681,154;69447945,3;9,25572E+11;9,04069E+11;9758567,861;301464915,9;8,65073E+11;8,48639E+11;6650794,188;125977809,4;1,99726E+12;1,98642E+12;91609474,53;1823535702;2,12738E+12
IPA042;300;280930,0637;nichoir_331_rue_marcs_dor;marcs_dor;mixed_housing;mixed_housing;0;4,9988;47,3174;34;B;Thuja sp;Prunus laurocerasus;Robinia pseudoacacia;273;0,156985779;1,670167353;5,4;2,55;0,733114977;0,04094158;122,295;105,37625;0,491939149;3,395068997;5055,984705;0,000110348;10,45586557;0,181962712;1192;3;14,08872525;0,158468395;2388;2;11;0,129043672;661;4;23;0;6;intensive;46,59558105;2,268628094;12,15295848;16,98513546;16,41073074;0;0;0;0;0;0;0;0;11931271,98;292243714,2;3,58941E+12;3,50656E+12;43052465,25;1271819372;3,47583E+12;3,41187E+12;23027365,32;443079176,9;6,68766E+12;6,64796E+12;305015127,9;6350177663;7,10086E+12
IPA042;450;632092,6433;nichoir_331_rue_marcs_dor;marcs_dor;mixed_housing;mixed_housing;0;4,9988;47,3174;34;B;Thuja sp;Prunus laurocerasus;Robinia pseudoacacia;530;0,153615135;1,651708987;5,5;2,7;0,700607249;0,034969584;129,67;98,6;0,516750352;3,196338389;11123,95271;0,00013922;13,88029924;0,195398338;2633;3;15;0,16429726;5368;2;11;0,126735023;1408;4;23;6,38E-05;6;intensive;46,53259277;20,24562504;31,75027983;35,25026555;20,77325801;3403,339428;208716,4796;2959267,813;20849970,75;2096,725273;420102,4582;2346828,881;11527909,31;28454319,96;643863978,9;7,86635E+12;7,68619E+12;100945939,2;2808106586;7,53569E+12;7,40158E+12;51533405,87;990756903,4;1,37159E+13;1,36208E+13;646079168,7;13986478753;1,40394E+13
IPA043;150;70232,51593;nichoir_362_rue_transvaal;centre;housing_buildings;high_hollow_blocks;0;5,0394;47,3152;36;A;Fraxinus excelsior;Platanus sp;Acer sp;212;0,339454431;3,523311825;7,55;6,1;0,258160585;0,109013377;204,465;392,36375;0,24164743;14,58038197;1651,173503;0,000299007;19,30579872;0,050573778;173;3;12;0,06642916;333;4;12;0,037775417;136;2;16,25;0;2;intensive;52,75447464;40,07994202;56,93780658;86,16374577;34,21563084;0;0;0;0;0;0;0;0;596451,1398;23269099,26;6,01919E+11;5,8299E+11;784792,8917;83330820,94;5,19288E+11;5,22243E+11;2206457,22;61109774,14;1,90752E+12;1,84014E+12;5290759,251;674839074,7;1,92724E+12
IPA043;300;280930,0637;nichoir_362_rue_transvaal;centre;housing_buildings;high_hollow_blocks;0;5,0394;47,3152;36;A;Fraxinus excelsior;Platanus sp;Acer sp;717;0,342239377;3,24644854;7,1;6,6;0,232672232;0,097707448;249,145;551,69125;0,20497589;15,83819705;5475,529375;0,000174421;19,99234823;0,06663389;751;3;12,5;0,069889507;1599;3;11;0,069399857;514;3;17;0;2;intensive;49,8538475;41,07970759;54,34719442;67,08226066;24,97525086;0;0;0;0;0;0;0;0;2628000,396;95298925,17;2,35833E+12;2,28608E+12;3578264,582;334862587,4;1,89973E+12;1,91764E+12;7529939,477;199722597,7;5,95586E+12;5,75257E+12;19750935,65;2209383946;5,79119E+12
IPA043;450;632092,6433;nichoir_362_rue_transvaal;centre;housing_buildings;high_hollow_blocks;0;5,0394;47,3152;36;A;Fraxinus excelsior;Platanus sp;Acer sp;1684;0,337349521;3,211394686;7,2;5,8;0,206250119;0,104521683;229,575;921,56;0,206097799;15,58189707;12801,17158;0,000172443;14,39472281;0,081068826;1582;4;17;0,073761864;3724;3;11;0,074066268;1110;3;17,75;0,000930947;2;intensive;52,23301315;75,36128279;103,1670857;92,70188053;30,47832891;30,53076626;26319,91289;0;6082528,627;3,98E-05;12751,84819;0;0;7266976,299;223510036,2;5,55792E+12;5,38897E+12;10896404,55;802689040,2;4,51228E+12;4,51634E+12;15735283,5;405293640,3;1,22598E+13;1,18445E+13;44744130,82;4552229394;1,17471E+13
IPA044;150;70232,51593;nichoir_383_rue_turgot;centre;old_city;high_hollow_blocks;0;5,0391;47,3167;15;B;Aesculus hippocastanum;;;234;0,377286317;3,390918886;7,35;6,3;0,206097216;0,135093437;252,1375;1288,43;0,130882078;25,90819867;1406,43398;0,000142384;16,0310276;0,061245217;197;3;11;0,078609228;428;3;11;0,066892817;147;2;15,5;0;2;intensive;52,41226578;122,0366242;131,595378;135,1822671;26,37387773;0;0;0;0;0;0;0;0;489343,6386;22727170,11;5,77897E+11;5,60569E+11;388469,3677;70990549,18;4,30559E+11;4,44262E+11;1886680,754;54395147,18;1,69771E+12;1,64288E+12;3337301,226;617330951,2;1,5385E+12
IPA044;300;280930,0637;nichoir_383_rue_turgot;centre;old_city;high_hollow_blocks;0;5,0391;47,3167;15;B;Aesculus hippocastanum;;;912;0,389926878;3,694779972;7,8;5,5;0,155462821;0,120209379;249,145;1253,2325;0,148910472;24,81208951;6114,331543;0,000199338;16,11182003;0,061353166;639;3;14;0,068881413;1484;3;11,39051505;0,061688206;478;3;17;0;2;intensive;51,66266632;70,71557657;99,00830534;87,1872167;28,75692234;0;0;0;0;0;0;0;0;1865332,554;81427569,82;2,06614E+12;2,00339E+12;1900130,786;266893697,5;1,56359E+12;1,58487E+12;6485743,885;188193853,2;5,66359E+12;5,478E+12;13255899,11;2119802640;5,28618E+12
