id_ipa;id_site;site_name;observator;year;date;fuli_atra;gall_chlo;anas_plat;cygn_olor;podi_cris;area_cine;acci_nisu;falc_subb;falc_tinn;colu_palu;colu_oena;colu_livi;stre_deca;cucu_cano;picu_viri;dend_majo;alce_atth;apus_apus;alau_arve;mota_cine;mota_alba;hiru_rust;deli_urbi;paru_majo;cyan_caer;aegi_caud;fice_hypo;sitt_euro;cert_brac;trog_trog;sylv_atri;sylv_comm;sylv_curr;phyl_troc;phyl_coll;erit_rube;turd_meru;phoe_ochr;phoe_phoe;lusc_mega;saxi_rube;chlo_chlo;card_card;frin_coel;lina_cann;seri_seri;pass_dome;embe_cirl;stur_vulg;corv_coro;pica_pica;corv_mone;corv_frug;garr_glan
IPA036b;IPA036;coulee_verte;BFa;2021;03/05/2021;;;;;;0,5;;;;1;;0,5;1,5;;;;;;;;;;1;1;0,5;;;;;;1;;;;;;1,5;;;;;;;;;;4,5;;;1;1,5;;;
IPA037a;IPA037;ru_de_pouilly;BFa;2021;12/05/2021;;0,5;;;;;;;;3;;;1;;;0,5;;;;;;;;2;1;;;;2;1;2;;;;1,5;;2;;1;2;;1;1;2;;;;;0,5;;;;5;
IPA037b;IPA037;ru_de_pouilly;BFa;2021;12/05/2021;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;2;;;;;;2,5;;;;;;1;;;;5;;0,5;1;0,5;;4;
IPA038a;IPA038;seminaire;BFr;2021;20/05/2021;;;;;;;;;;2;1;1;2;;0,5;;;;;;;;;1;0,5;;;;1;;2;;;;;;3;1;1;;;2;1;;;1;1;;2;;;;;
IPA038b;IPA038;seminaire;BFa;2021;20/05/2021;;;;;;;;;;1;;2,5;1;;;;;2;;;;;1,5;0,5;;;;;;;;;;;;;2;1;;;;;1;;;;3;;0,5;1,5;1;;;
IPA039a;IPA039;chateau_de_pouilly;BFa;2021;20/05/2021;;;;;;;;;;3;;;1;;;;;;;;;;;2;2;;;;1;;1;;;;1;;2;;;;;1;2;2;;;2;;2;1,5;0,5;;;
IPA039b;IPA039;chateau_de_pouilly;BFr;2021;20/05/2021;;;;;;;;;;2;;0,5;1;;;;;1,5;;;;;;;;;;;;;1;;;;;;3,5;;;;;1;;1;;;5;;1;0,5;;;;
IPA040;IPA 22-01;nichoir_326_rue_genreau;BFa;2022;19/04/2022;;;;;;0,5;;;;1,5;1;;1,5;;;;;;;;;1;;2;1;;;0,5;1;;2;;;;;;2;2;1;;;1;0,5;;;;5;;0,5;0,5;;;2,5;
IPA041a;IPA 22-02;chateau_de_larrey;BFa;2022;20/04/2022;;;;;;0,5;;;;1;;;;;;;;;;;;;;1;;;0,5;;0,5;;1,5;;;;;;1,5;;;;;1;;1;;;2;;0,5;1;;;;1,5
IPA041b;IPA 22-03;chateau_de_larrey;BFa;2022;20/04/2022;;;;;;;;;;;;;2,5;;;;;;;;;;;1;;;;;;;1;;;;;;1;;;;;;;;;1;5;;1,5;1;;;;
